,0,1,2
178,-2.9370092434772054e-05,8.701394315693284e-05,0.0001744644119808168
179,-2.9740324731422348e-05,8.870148979935914e-05,0.00017797427345985254
180,-3.010863329964943e-05,9.040212574717583e-05,0.00018150938023429414
181,-3.047495447928287e-05,9.211566486269293e-05,0.00018506930253492422
182,-3.0839225642371575e-05,9.38419179078744e-05,0.00018865360334069533
183,-3.1201385174589714e-05,9.558069255257699e-05,0.00019226183837624684
184,-3.1561372457346166e-05,9.733179338349252e-05,0.00019589355611332218
185,-3.1919127850580224e-05,9.90950219138413e-05,0.00019954829777609555
186,-3.2274592676226194e-05,0.00010087017659386693,0.00020322559735043173
187,-3.262770920233142e-05,0.00010265705282217798,0.0002069249815970869
188,-3.297842062781208e-05,0.00010445544295798044,0.00021064597006886134
189,-3.332667106782968e-05,0.0001062651363342466,0.00021438807513173247
190,-3.3672405539772105e-05,0.00010808591927186079,0.00021815080198998415
191,-3.401556994982398e-05,0.00010991757509478413,0.00022193364871535466
192,-3.435611108011066e-05,0.00011175988414627757,0.00022573610628022446
193,-3.469397657640094e-05,0.00011361262380622011,0.0002295576585948606
194,-3.502911493635428e-05,0.00011547556850956049,0.00023339778254873972
195,-3.5361475498297226e-05,0.00011734848976593572,0.00023725594805596855
196,-3.569100843051645e-05,0.00011923115654027793,0.0002411316189139451
197,-3.601766472105658e-05,0.00012112333574074303,0.00024502425390433104
198,-3.6341396168012725e-05,0.0001230247923528143,0.0002489333070992473
199,-3.666215537030945e-05,0.00012493528947279728,0.0002528582279423047
200,-3.697989571895452e-05,0.00012685458834165524,0.00025679846133147354
201,-3.729457138875689e-05,0.0001287824487990978,0.00026075344876314504
202,-3.760613733049726e-05,0.00013071862975264336,0.0002647226295143518
203,-3.791454926354124e-05,0.00013266288923401384,0.00026870544078431285
204,-3.821976366888635e-05,0.0001346149844475753,0.00027270131781650903
205,-3.8521737782629524e-05,0.00013657467181808758,0.00027670969401954565
206,-3.882042958984154e-05,0.0001385417070377976,0.00028073000108682776
207,-3.9115797818833344e-05,0.00014051584511290557,0.0002847616691150733
208,-3.940780193579818e-05,0.00014249684040943176,0.0002888041267216997
209,-3.9696402139815914e-05,0.00014448444669851247,0.0002928568011611057
210,-3.998155935820491e-05,0.0001464784172011476,0.00029691911843986597
211,-4.0263235242205493e-05,0.00014847850463242462,0.0003009905034308841
212,-4.0541392162980336e-05,0.0001504844612452407,0.0003050703799865321
213,-4.081599320791755e-05,0.0001524960388735429,0.00030915817105080375
214,-4.10870021943766e-05,0.00015451616806048976,0.00031325292362657505
215,-4.135438364057865e-05,0.0001565477783866984,0.00031735367959868704
216,-4.1618102728396014e-05,0.0001585906196589887,0.0003214598532808086
217,-4.18781253049132e-05,0.00016064444127601108,0.00032557085865847875
218,-4.213441787037279e-05,0.0001627089922166323,0.00032968610953105836
219,-4.238694756876571e-05,0.00016478402103300272,0.00033380501964409647
220,-4.263568218054217e-05,0.00016686927584773164,0.00033792700281405944
221,-4.2880590117036436e-05,0.00016896450435469366,0.00034205147304692494
222,-4.312164041628504e-05,0.0001710694538230582,0.00034617784465179146
223,-4.3358802739984125e-05,0.0001731838711041982,0.00035030553235040115
224,-4.359204737138108e-05,0.00017530750264117958,0.0003544339513832707
225,-4.382134521393402e-05,0.00017744009448057138,0.0003585625176129715
226,-4.4046667790602693e-05,0.00017958139228635263,0.00036269064762499105
227,-4.4267987243657465e-05,0.00018173114135571421,0.0003668177588265082
228,-4.448527633491182e-05,0.0001838890866365808,0.0003709432695433551
229,-4.4698508446298584e-05,0.00018605497274669497,0.0003750665991153791
230,-4.49076575807213e-05,0.0001882285439941228,0.0003791871679903886
231,-4.5112698363123974e-05,0.00019040954439905592,0.0003833043978168116
232,-4.531360604172966e-05,0.00019259771771679317,0.0003874177115351662
233,-4.5510356489403965e-05,0.0001947928074618018,0.00039152653346845594
234,-4.570292620510576e-05,0.00019699455693276364,0.000395630289411566
235,-4.589129231539242e-05,0.0001992027092385217,0.0003997284067197224
236,-4.6075432575950586e-05,0.00020141700732485184,0.00040382031439607454
237,-4.6255325373127486e-05,0.0002036371940019878,0.00040790544317843624
238,-4.643094972544072e-05,0.00020586301197283665,0.00041198322562522026
239,-4.660228528504655e-05,0.00020809420386182648,0.00041605309620060173
240,-4.6769312339149084e-05,0.00021033051224433143,0.00042011449135893344
241,-4.693201181133517e-05,0.0002125716796766277,0.0004241668496284369
242,-4.709036526282111e-05,0.00021481744872633304,0.00042820961169418167
243,-4.724435489359934e-05,0.00021706756200329057,0.0004322422204803691
244,-4.7393963543474383e-05,0.00021932176219085822,0.00043626412123192945
245,-4.7539174692978785e-05,0.00022157979207756824,0.0004402747615954384
246,-4.7679972464161066e-05,0.00022384139458912655,0.0004442735916993611
247,-4.7816341621238606e-05,0.00022610631282071994,0.0004482600642336223
248,-4.794826757110981e-05,0.00022837429006960567,0.00045223363452850745
249,-4.8075736363720586e-05,0.0002306450698679576,0.00045619376063289085
250,-4.81987346922814e-05,0.0002329183960159444,0.0004601399033917877
251,-4.83172498933304e-05,0.00023519401261502216,0.0004640715265232542
252,-4.843126994664309e-05,0.00023747166410141758,0.0004679880966945916
253,-4.854078347498963e-05,0.00023975109527978354,0.0004718890835978254
254,-4.8645779743737554e-05,0.00024203205135701032,0.0004757739600244822
255,-4.874624866030144e-05,0.0002443142779761764,0.0004796422019396507
256,-4.884218077344265e-05,0.0002465975212506267,0.00048349328855531575
257,-4.893356727242324e-05,0.00024888152779816336,0.00048732670240294375
258,-4.902039998602027e-05,0.0002511660447753396,0.0004911419294053052
259,-4.910267135352329e-05,0.00025345479349638727,0.0004949643761582703
260,-4.918037457253983e-05,0.00025575149516762855,0.0004988194457666987
261,-4.925350382763647e-05,0.0002580558978136332,0.0005027066217454383
262,-4.932205439185757e-05,0.00026036775031881935,0.0005066253868300087
263,-4.9386022695085365e-05,0.00026268680245907536,0.00051057522198555
264,-4.9445406343680185e-05,0.00026501280490534037,0.0005145556056986608
265,-4.950020410453977e-05,0.0002673455092069881,0.00051856601348321
266,-4.9550415864936574e-05,0.0002696846677613774,0.0005226059175467862
267,-4.959604257716471e-05,0.00027203003377459806,0.0005266747865768058
268,-4.96370861947658e-05,0.00027438136121728517,0.0005307720856150688
269,-4.967354960516834e-05,0.0002767384047783985,0.0005348972759971716
270,-4.9705436562041494e-05,0.0002791009198190689,0.0005390498153390926
271,-4.973275161951119e-05,0.0002814686623279889,0.0005432291575577871
272,-4.975550006955352e-05,0.00028384138887933955,0.0005474347529160495
273,-4.9773687883300186e-05,0.0002862188565938881,0.0005516660480844804
274,-4.97873216565985e-05,0.000288600823103624,0.0005559224862153225
275,-4.979640855991279e-05,0.00029098704652011153,0.0005602035070243483
276,-4.9800956292493215e-05,0.00029337728540660486,0.0005645085468780537
277,-4.980097304064273e-05,0.0002957712987538786,0.0005688370388841745
278,-4.9796467439860747e-05,0.0002981688459596673,0.0005731884129841268
279,-4.978744854061847e-05,0.0003005696868115683,0.0005775620960463859
280,-4.9773925777512626e-05,0.00030297358147323664,0.0005819575119601251
281,-4.975590894835505e-05,0.00030538029042894154,0.0005863740818376868
282,-4.9733408236117186e-05,0.00030778957423843853,0.0005908112246840478
283,-4.970643424096278e-05,0.00031020119335583397,0.0005952683579138757
284,-4.9674997987319126e-05,0.00031261490815918426,0.0005997448973599017
285,-4.963911092995324e-05,0.0003150304789806994,0.0006042402572851424
286,-4.959878495910098e-05,0.00031744766613748523,0.0006087538503987147
287,-4.9554032404696426e-05,0.00031986622996275677,0.0006132850878750303
288,-4.9504866039748174e-05,0.0003222859308374669,0.0006178333793761939
289,-4.9451299082908075e-05,0.00032470652922229486,0.0006223981330774542
290,-4.939334520027674e-05,0.0003271277856899445,0.0006269787556955733
291,-4.933101850648865e-05,0.00032954946095770847,0.0006315746525200068
292,-4.926433356511847e-05,0.0003319713159202543,0.0006361852274467883
293,-4.9193305388448594e-05,0.0003343931116825954,0.0006408098830150341
294,-4.911794943663672e-05,0.00033681460959321185,0.0006454480204459831
295,-4.9038281616320636e-05,0.0003392355712772868,0.0006500990396844993
296,-4.895431827869622e-05,0.00034165575867003127,0.0006547623394429716
297,-4.8866076217103446e-05,0.00034407493405006785,0.0006594373172475429
298,-4.87735726641536e-05,0.00034649286007284953,0.0006641233694866142
299,-4.867682528842999e-05,0.0003489092998040905,0.000668819891461565
300,-4.857585219079321e-05,0.00035132401675318616,0.0006735262774396374
301,-4.84706719003208e-05,0.00035373677490660514,0.0006782419207089354
302,-4.8361303369910146e-05,0.0003561473387612325,0.000682966213635487
303,-4.824776597157236e-05,0.0003585554733576503,0.0006876985477223265
304,-4.813007949144387e-05,0.000360960944313337,0.0006924383136705459
305,-4.8008264124541545e-05,0.0003633635178557743,0.0006971849014422757
306,-4.788234046928599e-05,0.00036576296085544664,0.0007019377003255484
307,-4.775232952181716e-05,0.00036815904085872104,0.000706696099001
308,-4.761825267012503e-05,0.00037055152612059733,0.0007114594856103714
309,-4.7480131688017566e-05,0.0003729401856373167,0.0007162272478267605
310,-4.733798872894727e-05,0.0003753247891788203,0.0007209987729265884
311,-4.719184631971658e-05,0.0003777051073210485,0.0007257734478632345
312,-4.70417273540825e-05,0.0003800809114780769,0.0007305506593423121
313,-4.688765508627815e-05,0.0003824519739340777,0.0007353297938985262
314,-4.6729653124469065e-05,0.00038481806787509285,0.000740110237974048
315,-4.656774542416239e-05,0.0003871789674206195,0.0007448913779983898
316,-4.640195628158547e-05,0.0003895344476550016,0.0007496726004697324
317,-4.6232310327049736e-05,0.00039188428465862117,0.0007544532920376603
318,-4.605883251831468e-05,0.0003942282555388868,0.0007592328395872615
319,-4.58815481339666e-05,0.0003965661384610128,0.0007640106303245401
320,-4.570048276682552e-05,0.0003988977126785867,0.0007687860518631017
321,-4.5515662317393414e-05,0.00040122275856392165,0.0007735584923120579
322,-4.532711298735604e-05,0.00040354105763818957,0.0007783273403651043
323,-4.513486127314999e-05,0.0004058523926013335,0.0007830919853907222
324,-4.493893395960614e-05,0.00040815654736175847,0.0007878518175234601
325,-4.473935811367958e-05,0.00041045330706579664,0.000792606227756235
326,-4.453616107827582e-05,0.00041274245812694335,0.0007973546080336026
327,-4.4329370466182534e-05,0.00041502378825486604,0.0008020963513459476
328,-4.411901415411546e-05,0.0004172970864841814,0.0008068308518245404
329,-4.39051202768862e-05,0.00041956214320300377,0.0008115575048374114
330,-4.368771722169931e-05,0.0004218187501812614,0.0008162757070859856
331,-4.346683362258543e-05,0.0004240667005987801,0.000820984856702424
332,-4.324249835497647e-05,0.00042630578907313515,0.000825684353347621
333,-4.301474053042869e-05,0.000428535811687268,0.0008303735983097958
334,-4.278358949149836e-05,0.0004307565660168705,0.000835051994603632
