,0
348,8.560882753509431e-06
349,8.195863524149835e-06
350,7.830900767768578e-06
351,7.466050567405063e-06
352,7.101370179538777e-06
353,6.736918015989933e-06
354,6.908515911045763e-06
355,7.0404971094055435e-06
356,7.134881034732977e-06
357,7.193953566022545e-06
358,7.220125862540647e-06
359,7.215836234271407e-06
360,7.183483420817049e-06
361,7.125382642231725e-06
362,7.043738051667545e-06
363,6.940626900999809e-06
364,6.817869339880877e-06
365,6.677133360487703e-06
366,6.519953384120162e-06
367,6.347740643622841e-06
368,6.161793321575713e-06
369,5.963306278068161e-06
370,5.753380279872249e-06
371,5.531958158295527e-06
372,5.30301582737793e-06
373,5.089239811378368e-06
374,4.930897890997372e-06
375,4.815454478838145e-06
376,4.733033831983533e-06
377,4.675735092195443e-06
378,4.637196586387844e-06
379,4.6122645095042385e-06
380,4.5940687640598865e-06
381,4.583026012704454e-06
382,4.576383446864049e-06
383,4.569994678722496e-06
384,4.5628715508393464e-06
385,4.5753787306085245e-06
386,4.589845206535628e-06
387,4.606712163187797e-06
388,4.623690845517976e-06
389,4.640645246378843e-06
390,4.656010967321587e-06
391,4.6690659786048204e-06
392,4.679355937149003e-06
393,4.686495599596382e-06
394,4.690163228040186e-06
395,4.6907465520237425e-06
396,4.687340923920472e-06
397,4.680986544158836e-06
398,4.67081476394154e-06
399,4.656210771024423e-06
400,4.6371753865123725e-06
401,4.613753720323854e-06
402,4.586023088631091e-06
403,4.553999961667907e-06
404,4.517971608594205e-06
405,4.4779795838260955e-06
406,4.4353624443385214e-06
407,4.389473826485854e-06
408,4.340850773732347e-06
409,4.289421093699373e-06
410,4.235152525573367e-06
411,4.1780432241115065e-06
412,4.117977066956998e-06
413,4.054999327724241e-06
414,3.989027212382645e-06
415,3.920561743679032e-06
416,3.849352849890394e-06
417,3.7754973760089844e-06
418,3.6990983698060893e-06
419,3.7814723053738117e-06
420,4.00394153567254e-06
421,4.228364418885903e-06
422,4.454601949585578e-06
423,4.682555960049967e-06
424,4.912181548032845e-06
425,5.143395299724345e-06
426,5.376544283986762e-06
427,5.611013610769608e-06
428,5.847543611956983e-06
429,5.733007658755975e-06
430,3.1358369405739396e-06
431,3.056886814867144e-06
432,4.695739169573143e-06
433,6.100421027305672e-06
434,7.2619316524567624e-06
435,8.228425127213946e-06
436,9.0370212796251e-06
437,9.71650862652414e-06
438,1.0289367028608599e-05
439,1.0773283097867058e-05
440,1.1182287202305826e-05
441,1.1527607379710928e-05
442,1.1818309233949958e-05
443,1.2061781729098727e-05
444,1.2264106352941898e-05
445,1.2430339037007657e-05
446,1.2564722990183144e-05
447,1.2670852948558826e-05
448,1.2751801295757166e-05
449,1.281021569379346e-05
450,1.2848395151430516e-05
451,1.286834971992391e-05
452,1.2871843858690406e-05
453,1.2860429517261344e-05
454,1.2835480356080182e-05
455,1.2798218050482025e-05
456,1.2749733654611386e-05
457,1.2691005121020928e-05
458,1.2622911807272568e-05
459,1.2546246602610397e-05
460,1.2461726158176746e-05
461,1.2369999593988447e-05
462,1.2271655968771335e-05
463,1.2167230737165948e-05
464,1.2057211358526021e-05
465,1.194204211140987e-05
466,1.1822128817223667e-05
467,1.169784224209863e-05
468,1.1569521647537954e-05
469,1.1437477820667096e-05
470,1.130199578182519e-05
471,1.116333721066548e-05
472,1.1021742624665768e-05
473,1.0877433338975656e-05
474,1.0730613232381366e-05
475,1.0589521244223312e-05
476,1.0450871390148626e-05
477,1.0310238641797652e-05
478,1.0167769533029653e-05
479,1.0023599733285215e-05
480,9.877855016098477e-06
481,9.730652137396866e-06
482,9.582099632428847e-06
483,9.432298539171402e-06
484,9.28134305561473e-06
485,9.129321136820171e-06
486,8.976315037721554e-06
487,8.822401806880002e-06
488,8.667653735694725e-06
489,8.51213876726887e-06
490,8.355920868716988e-06
491,8.199060370277188e-06
492,8.041614274344538e-06
493,7.883636595393328e-06
494,7.725178626857056e-06
495,8.102017277668521e-06
496,8.438499871203508e-06
497,8.73663001514794e-06
498,8.998675746358564e-06
499,9.227028314518443e-06
500,9.424104057042696e-06
501,9.592277715776176e-06
502,9.73383854985397e-06
503,9.85096286754214e-06
504,9.945698283170656e-06
505,1.0019956252810985e-05
506,1.0075510366372164e-05
507,1.0113998557527365e-05
508,1.0136927897946451e-05
509,1.0145681014941276e-05
510,1.0141523446084886e-05
511,1.012561144554841e-05
512,1.00989999046787e-05
513,1.0062649895448107e-05
514,1.0017436942367553e-05
515,9.964157573532078e-06
516,9.90353615230332e-06
517,9.836231249538287e-06
518,9.762841494162858e-06
519,9.683910975698883e-06
520,9.599934212673733e-06
521,9.511360708204324e-06
522,9.41859911657344e-06
523,9.322021046386994e-06
524,9.22196452651767e-06
525,9.1187371600198e-06
526,9.01261899223452e-06
527,8.903865115411013e-06
528,8.792708033174328e-06
529,8.679359805407109e-06
530,8.56401399307087e-06
531,8.446847421121241e-06
532,8.328021775014936e-06
533,8.207685048029634e-06
534,8.085972851260851e-06
535,7.963009599750006e-06
536,7.838909586295127e-06
537,7.713777953539569e-06
538,7.587677776839679e-06
539,7.460769881334653e-06
540,7.3330988981176175e-06
541,7.204741408776267e-06
542,7.0757684750998925e-06
543,6.946246173356843e-06
544,6.816236075892357e-06
545,6.685795688827391e-06
546,6.554978846081873e-06
547,6.423836065903449e-06
548,6.2924148732541626e-06
549,6.160760090126748e-06
550,6.028914099364681e-06
551,5.896917081850968e-06
552,5.778195123108811e-06
553,5.749032129588981e-06
554,5.719558522922774e-06
555,5.6897912594807826e-06
556,5.6597367098037465e-06
557,5.62942918973916e-06
558,5.598871981124643e-06
559,5.568077862103127e-06
560,5.53705882623249e-06
561,5.505826165243158e-06
562,5.474390545263766e-06
563,5.4427620745087814e-06
564,5.410950364760538e-06
565,5.378964587124972e-06
566,5.346813521998045e-06
567,5.314505604224566e-06
568,5.282048963776316e-06
569,5.249451462341214e-06
570,5.210759923661952e-06
571,5.167564234502726e-06
572,5.121074321434824e-06
573,5.072213212025434e-06
574,5.0216868323579775e-06
575,4.970036414270672e-06
576,4.9176778965198536e-06
577,4.864931593271993e-06
578,4.8120445745526254e-06
579,4.759207584926661e-06
580,4.785128913725505e-06
581,4.928053351545959e-06
582,5.070647357975665e-06
583,5.212832905966618e-06
584,5.354532312310765e-06
585,5.4956696583987615e-06
586,5.636171722767156e-06
587,5.775968600570825e-06
588,5.914994290053493e-06
589,6.053235428562464e-06
590,6.1905271457655255e-06
591,6.326871598029247e-06
592,6.4622170676157895e-06
593,6.59651528222404e-06
594,6.729721224867712e-06
595,6.861792935502696e-06
596,6.992691311491894e-06
597,7.122379911828285e-06
598,7.250824768348779e-06
599,7.3779942060354075e-06
600,7.503858673599167e-06
601,4.950644961912316e-06
602,4.3370116504709425e-06
603,6.125010356894751e-06
604,7.640080709918303e-06
605,8.93527791017489e-06
606,1.0051634559661182e-05
607,1.1021087693918996e-05
608,1.1868671596622398e-05
609,1.261416270505273e-05
610,1.3273315426447553e-05
611,1.3858792330446928e-05
612,1.4380865852224515e-05
613,1.4847966765574544e-05
614,1.526707569284165e-05
615,1.5644011350811355e-05
616,1.5983724716329942e-05
617,1.6290253763638556e-05
618,1.6567214531479037e-05
619,1.681767114350474e-05
620,1.704428332341709e-05
621,1.7249373994581198e-05
622,1.7434983000141775e-05
623,1.7602910166776828e-05
624,1.7754750142548013e-05
625,1.7891920846084567e-05
626,1.8015686920215814e-05
627,1.8127179249921883e-05
628,1.8227411354475683e-05
629,1.8317293275289332e-05
630,1.8397643439120232e-05
631,1.8469198869144282e-05
632,1.8532624034843895e-05
633,1.8588518570061233e-05
634,1.8637424041176797e-05
635,1.8679829911071287e-05
636,1.871617881668693e-05
637,1.9282576169975164e-05
638,1.9803698554490267e-05
639,2.0281832494507745e-05
640,2.0719500014858547e-05
641,2.1119320277373733e-05
642,2.148391401824941e-05
643,2.1815839168110943e-05
644,2.2117549036677957e-05
645,2.23913667090768e-05
646,2.2639470981576115e-05
647,2.2863890409510454e-05
648,2.306650296244721e-05
649,2.3249039463030202e-05
650,2.341308948975972e-05
651,2.3560108794960184e-05
652,2.3691427562321293e-05
653,2.3808259028923686e-05
654,2.391170814248031e-05
655,2.4002780031741342e-05
656,2.4082388144959764e-05
657,2.415136196662715e-05
658,2.4210454262948397e-05
659,2.4260347833343317e-05
660,2.4301661765427884e-05
661,2.433495720351067e-05
662,2.43607426494398e-05
663,2.4379478819369084e-05
664,2.4391583084266797e-05
665,2.439743352167387e-05
666,2.4397372607632035e-05
667,2.4391710576703246e-05
668,2.438072847701076e-05
669,2.436468094587504e-05
670,2.4343798008408483e-05
671,2.431828932968007e-05
672,2.428834479339189e-05
673,2.4254136364931935e-05
674,2.4215820068840862e-05
675,2.4173537535824392e-05
676,2.412741740503215e-05
677,2.4077576595039428e-05
678,2.4024121455551704e-05
679,2.3967148811568082e-05
680,2.3906746909451295e-05
681,2.384299627447338e-05
682,2.3775970488060037e-05
683,2.3705736892331853e-05
684,2.36323572287864e-05
685,2.3555888217350887e-05
686,2.347638208131163e-05
687,2.3393887023382223e-05
688,2.3308447657508265e-05
689,2.3220105400398483e-05
690,2.3128898826771166e-05
691,2.3034863991623142e-05
692,2.293803472266193e-05
693,2.2838442885669213e-05
694,2.2736118625362636e-05
695,2.2631090584041167e-05
696,2.2523386100067907e-05
697,2.241303138801246e-05
698,2.2300051702395423e-05
699,2.2184471486257246e-05
700,2.2066314506119053e-05
701,2.1945603974575008e-05
702,2.182236266160279e-05
703,2.1696612995679096e-05
704,2.156837715560178e-05
705,2.1437677153858226e-05
706,2.13045349123278e-05
707,2.1168972330972852e-05
708,2.103101135014629e-05
709,2.089067400714024e-05
710,2.074798248740319e-05
711,2.060295917093938e-05
712,2.04556266742899e-05
713,2.0306007888479493e-05
714,2.0154167435638275e-05
715,2.000025732582411e-05
716,1.984441012049546e-05
717,1.9686742660966898e-05
718,1.9527358963752435e-05
719,1.936635248433829e-05
720,1.9203807900460004e-05
721,1.9039802528141593e-05
722,1.887440745610315e-05
723,1.870768846266995e-05
724,1.8539706763815353e-05
725,1.837051962919418e-05
726,1.8200181382451927e-05
727,1.802874147779685e-05
728,1.7856245233775642e-05
729,1.7682734742976365e-05
730,1.7508249565503922e-05
731,1.7332827259633286e-05
732,1.7156503789859747e-05
733,1.6979313841844285e-05
734,1.6801291067044182e-05
735,1.66224682738222e-05
736,1.6442877577704695e-05
737,1.626255052016636e-05
738,1.608151816327573e-05
739,1.589981116562913e-05
740,1.5717459843644627e-05
741,1.5534494221354167e-05
742,1.53509440711332e-05
743,1.5166838947128436e-05
744,1.4982208212880046e-05
745,1.4797081064001642e-05
746,1.4611486547625973e-05
747,1.4427656587906899e-05
748,1.4327652834279349e-05
749,1.4226896146512044e-05
750,1.4125404439601283e-05
751,1.402319564529368e-05
752,1.3920287716475518e-05
753,1.3816631091661752e-05
754,1.3712368796504388e-05
755,1.360746658392866e-05
756,1.3501940950158236e-05
757,1.339580884927606e-05
758,1.3293476761230455e-05
759,1.3195892224415726e-05
760,1.3097717258805138e-05
761,1.2998968223196564e-05
762,1.2899661607589287e-05
763,1.2799814007122599e-05
764,1.2699366696918142e-05
765,1.2598207806079643e-05
766,1.249625005450031e-05
767,1.2393425580907375e-05
768,1.2289681999671688e-05
769,1.2184979380166525e-05
770,1.2079287920050219e-05
771,1.1972586141692145e-05
772,1.186485948433974e-05
773,1.2454204521110815e-05
774,1.462618878296947e-05
775,1.6452752227085137e-05
776,1.800142945699208e-05
777,1.9324397073849532e-05
778,2.0997889986400964e-05
779,2.2478011627936763e-05
780,2.3791775979349336e-05
781,2.4961339787265758e-05
782,2.6005049177072844e-05
783,2.693823718406599e-05
784,2.7773834189745312e-05
785,2.852283751878939e-05
786,2.919467476796678e-05
787,2.979748673472273e-05
788,3.0338349316033716e-05
789,3.082376653636723e-05
790,3.125849857960348e-05
791,3.164771155837634e-05
792,3.1995657264711096e-05
793,3.230611675322674e-05
794,3.2582462116384575e-05
795,3.282770807684195e-05
796,3.304455546439519e-05
797,3.3235427224586846e-05
798,3.34024993631777e-05
799,3.3547728624202615e-05
800,3.3672876691471466e-05
801,3.3779531269850456e-05
802,3.386912455098408e-05
803,3.394294946599018e-05
804,3.400217405000169e-05
805,3.404785418370812e-05
806,3.4080944930010505e-05
807,3.410231194545009e-05
808,3.41127400530399e-05
809,3.411293927954364e-05
810,3.410355292764072e-05
811,3.408516396527955e-05
812,3.405830099773242e-05
813,3.4023443760139254e-05
814,3.3981027960357796e-05
815,3.39314496288431e-05
816,3.387506902926643e-05
817,3.3812214177441015e-05
818,3.374318401033714e-05
819,3.366825124171248e-05
820,3.3587664936681266e-05
821,3.350165283429884e-05
822,3.341042344177484e-05
823,3.331416792635285e-05
824,3.321306182287352e-05
825,3.310726657505864e-05
826,3.2996930927800925e-05
827,3.288219218470639e-05
828,3.2763177344064114e-05
829,3.264000412508817e-05
830,3.251278189508271e-05
831,3.23816125073216e-05
832,3.2246591057513536e-05
833,3.2107806567691694e-05
834,3.196534260465008e-05
835,3.181927783784011e-05
836,3.1669686543779697e-05
837,3.151663906192827e-05
838,3.136020220631437e-05
839,3.12004396374551e-05
840,3.1037412198317194e-05
841,3.087117821798492e-05
842,3.0701793784998327e-05
843,3.052931299532381e-05
844,3.035378817584475e-05
845,3.017527008581976e-05
846,2.9993808098875358e-05
847,2.9809450367205286e-05
848,2.9622243969647956e-05
849,2.943223504524499e-05
850,2.9239468913628483e-05
851,2.9043990183290836e-05
852,2.8845842849491307e-05
853,2.8645070382038794e-05
854,2.8441715804324764e-05
855,2.823582176438905e-05
856,2.802743059870652e-05
857,2.781658438942273e-05
858,2.7603325015641055e-05
859,2.7387694199322986e-05
860,2.716973354630621e-05
861,2.6949484582893905e-05
862,2.672698878841062e-05
863,2.6502287624141228e-05
864,2.627542255894841e-05
865,2.6046435091888022e-05
866,2.5815366772095763e-05
867,2.5582259216215333e-05
868,2.53471541235569e-05
869,2.5110093289212898e-05
870,2.4871118615310072e-05
871,2.4630272120581364e-05
872,2.4387595948301757e-05
873,2.4143132373016088e-05
874,2.3896923635649466e-05
875,2.3649012353401366e-05
876,2.339944134244854e-05
877,2.3148253444219573e-05
878,2.2895491646801748e-05
879,2.2641199085414335e-05
880,2.238541904210782e-05
881,2.2128194944738438e-05
882,2.186957036528761e-05
883,2.1609589017585346e-05
884,2.1348294754498962e-05
885,2.108573156458247e-05
886,2.0821943568303904e-05
887,2.0556975013813032e-05
888,2.029087027233737e-05
889,2.002367383319506e-05
890,1.9755430298490256e-05
891,1.948618437747872e-05
892,1.921598088065416e-05
893,1.894486471355694e-05
894,1.867288087034242e-05
895,1.8400074427111152e-05
896,1.8126490535018816e-05
897,1.7852174413187632e-05
898,1.7577171341440654e-05
899,1.730152665283532e-05
900,1.7025285726057286e-05
901,1.6748493977651396e-05
902,1.6471196854109882e-05
903,1.6193439823833338e-05
904,1.5915268368964434e-05
905,1.563672797711837e-05
906,1.5357864132967424e-05
907,1.5078722309792799e-05
908,1.4799347960899913e-05
909,1.451978651094998e-05
910,1.4240083347229074e-05
911,1.3960283810852554e-05
912,1.3680433187884048e-05
913,1.340057670040975e-05
914,1.3120759497568108e-05
915,1.2841026646525221e-05
916,1.2561423123377316e-05
917,1.2281993804102705e-05
918,1.2002783455392177e-05
919,1.1723836725506945e-05
920,1.198082643394489e-05
921,1.2198192949346963e-05
922,1.237793508052635e-05
923,1.2522316845355521e-05
924,1.2633725651739163e-05
925,1.2781095080143301e-05
926,1.2938424140934477e-05
927,1.3066553780135582e-05
928,1.3168610229879508e-05
929,1.3247323800594983e-05
930,1.330509215261828e-05
931,1.3343931723540118e-05
932,1.3365903060080123e-05
933,1.3372594445521585e-05
934,1.3365491540207796e-05
935,1.3345923909338816e-05
936,1.3315084195862105e-05
937,1.3274044380545061e-05
938,1.3223769683186076e-05
939,1.3165130535529024e-05
940,1.3098912962836836e-05
941,1.302580292041206e-05
942,1.294640675684456e-05
943,1.286128023758937e-05
944,1.3796852438846366e-05
945,1.60703121200598e-05
946,1.799188194215733e-05
947,1.962799093825823e-05
948,2.103023929220611e-05
949,2.2238986375607257e-05
950,2.3286040195582293e-05
951,2.4196676357561538e-05
952,2.4991156461572304e-05
953,2.568587252544054e-05
954,2.6294211770760785e-05
955,2.6827212090648398e-05
956,2.729406063591182e-05
957,2.7702474640295542e-05
958,2.8058993688406012e-05
959,2.8369571050317898e-05
960,2.863823613231809e-05
961,2.8869583310560902e-05
962,2.906724860976849e-05
963,2.923442179038912e-05
964,2.937391480700138e-05
965,2.9488217152588635e-05
966,2.9579541021934192e-05
967,2.9649858517266975e-05
968,2.9700932586787678e-05
969,2.9734342987311326e-05
970,2.9751508261733848e-05
971,2.9753704495575058e-05
972,2.9742081445883475e-05
973,2.971767650603621e-05
974,2.9681467201758972e-05
975,2.963434681761084e-05
976,2.957712128390655e-05
977,2.951051873553973e-05
978,2.9435197859382123e-05
979,2.9351755221680156e-05
980,2.9260731729224543e-05
981,2.9162618348996944e-05
982,2.905786118845896e-05
983,2.894686602075949e-05
984,2.8830002325332713e-05
985,2.870760690307261e-05
986,2.8579987116406778e-05
987,2.8447423797284626e-05
988,2.8310173860204267e-05
989,2.816847265244918e-05
990,2.8022536069673044e-05
991,2.787256246144949e-05
992,2.771873434858925e-05
993,2.75612949906327e-05
994,2.7400499644791085e-05
995,2.723657587330812e-05
996,2.7069727639341936e-05
997,2.690013864059277e-05
998,2.6889161553942417e-05
999,2.697461767266558e-05
1000,2.7000636722972252e-05
1001,2.6980698751525875e-05
1002,2.6925124904898948e-05
1003,2.68418231805418e-05
1004,2.673685757592937e-05
1005,2.6614882490442497e-05
1006,2.647947435097203e-05
1007,2.633338484232645e-05
